id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,canal,tienda,tipo_venta
1,2026-04-01,104,2005,2,68208.0,WEB,Concepción Centro,Online
2,2026-04-01,119,2015,2,118716.0,WEB,Antofagasta Mall,Online
3,2026-04-01,102,2006,1,27220.0,POS,Las Condes,Presencial
4,2026-04-01,109,2013,2,44296.0,WEB,Santiago Centro,Online
5,2026-04-01,113,2001,3,144911.0,POS,Las Condes,Presencial
6,2026-04-01,108,2004,3,171163.0,WEB,Las Condes,Online
7,2026-04-01,102,2006,2,25357.0,APP,Santiago Centro,Online
8,2026-04-02,114,2006,1,23927.0,WEB,Concepción Centro,Online
9,2026-04-02,108,2006,1,26453.0,APP,Providencia,Online
10,2026-04-02,106,2015,2,114207.0,POS,Concepción Centro,Presencial
11,2026-04-02,115,2013,2,42794.0,WEB,Las Condes,Online
12,2026-04-02,111,2015,2,112804.0,APP,Las Condes,Online
13,2026-04-02,107,2001,2,158209.0,APP,Las Condes,Online
14,2026-04-02,112,2013,1,45606.0,APP,Las Condes,Online
15,2026-04-02,104,2006,1,25111.0,POS,Antofagasta Mall,Presencial
16,2026-04-03,117,2001,2,152886.0,WEB,Providencia,Online
17,2026-04-03,103,2014,1,96644.0,POS,Temuco Portal,Presencial
18,2026-04-03,101,2003,2,191546.0,WEB,Providencia,Online
19,2026-04-03,119,2012,2,28780.0,POS,Santiago Centro,Presencial
20,2026-04-03,113,2006,1,24593.0,WEB,Providencia,Online
21,2026-04-03,114,2007,1,63371.0,WEB,Las Condes,Online
22,2026-04-03,116,2014,1,88960.0,POS,Las Condes,Presencial
23,2026-04-03,109,2010,2,88097.0,WEB,Providencia,Online
24,2026-04-03,105,2003,1,173506.0,WEB,Providencia,Online
25,2026-04-04,109,2001,2,146570.0,WEB,Antofagasta Mall,Online
26,2026-04-04,103,2009,1,154119.0,WEB,Santiago Centro,Online
27,2026-04-04,108,2005,2,70657.0,POS,Maipú,Presencial
28,2026-04-04,110,2001,3,158085.0,POS,Temuco Portal,Presencial
