id_fact_venta,fecha_key,cliente_key,producto_key,canal_key,tienda_key,cantidad,precio_unitario,total_venta,tipo_venta
1,1,4,5,1,5,2,68208,136416,Online
2,1,19,15,1,7,2,118716,237432,Online
3,1,2,6,3,1,1,27220,27220,Presencial
4,1,9,13,1,3,2,44296,88592,Online
5,1,13,1,3,1,3,144911,434733,Presencial
6,1,8,4,1,1,3,171163,513489,Online
7,1,2,6,2,3,2,25357,50714,Online
8,2,14,6,1,5,1,23927,23927,Online
9,2,8,6,2,2,1,26453,26453,Online
10,2,6,15,3,5,2,114207,228414,Presencial
11,2,15,13,1,1,2,42794,85588,Online
12,2,11,15,2,1,2,112804,225608,Online
13,2,7,1,2,1,2,158209,316418,Online
14,2,12,13,2,1,1,45606,45606,Online
15,2,4,6,3,7,1,25111,25111,Presencial
16,3,17,1,1,2,2,152886,305772,Online
17,3,3,14,3,6,1,96644,96644,Presencial
18,3,1,3,1,2,2,191546,383092,Online
19,3,19,12,3,3,2,28780,57560,Presencial
20,3,13,6,1,2,1,24593,24593,Online
21,3,14,7,1,1,1,63371,63371,Online
22,3,16,14,3,1,1,88960,88960,Presencial
23,3,9,10,1,2,2,88097,176194,Online
24,3,5,3,1,2,1,173506,173506,Online
25,4,9,1,1,7,2,146570,293140,Online
26,4,3,9,1,3,1,154119,154119,Online
27,4,8,5,3,4,2,70657,141314,Presencial
28,4,10,1,3,6,3,158085,474255,Presencial
29,4,15,4,3,4,1,155375,155375,Presencial
30,4,2,5,3,2,3,69285,207855,Presencial
31,4,13,9,3,2,2,160126,320252,Presencial
32,4,5,5,2,7,3,68952,206856,Online
33,4,8,1,2,1,1,159922,159922,Online
34,5,19,2,3,1,1,276441,276441,Presencial
35,5,19,15,1,1,1,118200,118200,Online
36,5,6,7,1,5,1,65412,65412,Online
37,5,6,3,2,6,1,188429,188429,Online
38,5,18,1,3,1,1,161666,161666,Presencial
39,5,3,5,1,1,1,73673,73673,Online
40,5,11,3,2,6,2,180496,360992,Online
41,5,14,6,3,1,2,25830,51660,Presencial
42,5,11,2,2,3,1,256971,256971,Online
43,5,9,3,3,2,1,189562,189562,Presencial
44,6,10,11,1,3,2,35422,70844,Online
45,6,13,4,1,3,1,175515,175515,Online
46,6,16,7,3,4,1,54793,54793,Presencial
47,6,2,1,1,1,1,144603,144603,Online
48,6,5,14,3,1,2,97389,194778,Presencial
49,6,13,8,3,6,1,93058,93058,Presencial
50,6,14,2,3,7,3,302313,906939,Presencial
51,6,12,6,3,3,1,25856,25856,Presencial
52,6,4,13,3,1,2,44551,89102,Presencial
53,6,18,1,3,3,1,144051,144051,Presencial
54,6,18,7,1,3,1,60074,60074,Online
55,7,11,2,2,5,2,266711,533422,Online
56,7,18,5,3,1,3,71097,213291,Presencial
57,7,14,1,3,3,1,140259,140259,Presencial
58,7,16,2,1,3,2,260284,520568,Online
59,7,8,11,3,5,1,38878,38878,Presencial
60,7,8,4,2,5,3,182804,548412,Online
61,7,9,10,1,3,1,84693,84693,Online
62,7,6,7,1,7,1,62984,62984,Online
63,7,7,6,1,3,1,27095,27095,Online
64,7,16,13,1,5,2,42679,85358,Online
65,7,2,6,1,1,3,26735,80205,Online
66,8,11,12,3,1,2,27474,54948,Presencial
67,8,19,4,1,2,1,144957,144957,Online
68,8,6,11,2,5,1,37902,37902,Online
69,8,6,6,1,7,1,26210,26210,Online
70,8,19,14,3,5,2,88700,177400,Presencial
71,8,8,1,2,7,1,158356,158356,Online
72,8,12,9,3,3,1,142157,142157,Presencial
73,8,6,10,2,4,1,91340,91340,Online
74,8,6,13,3,3,1,47824,47824,Presencial
75,8,9,6,1,3,2,24780,49560,Online
76,8,14,4,1,3,2,153934,307868,Online
77,9,12,12,2,3,1,28817,28817,Online
78,9,2,12,3,1,1,31964,31964,Presencial
79,9,1,7,1,7,1,59906,59906,Online
80,9,11,14,3,7,2,93024,186048,Presencial
81,9,6,3,1,3,1,182768,182768,Online
82,9,17,12,3,6,2,32282,64564,Presencial
83,9,12,1,1,5,1,137609,137609,Online
84,9,13,13,1,2,1,44506,44506,Online
85,9,6,11,3,3,1,37198,37198,Presencial
86,9,14,6,3,1,2,23945,47890,Presencial
87,9,2,11,3,1,2,37210,74420,Presencial
88,9,16,11,1,6,1,33949,33949,Online
89,10,20,9,2,7,2,146275,292550,Online
90,10,4,11,2,6,1,34883,34883,Online
91,10,8,6,3,1,3,26499,79497,Presencial
92,10,14,12,1,5,1,31637,31637,Online
93,10,3,2,1,3,3,313815,941445,Online
94,10,11,1,1,2,2,126603,253206,Online
95,10,15,15,3,3,2,122471,244942,Presencial
96,10,10,5,3,7,2,76615,153230,Presencial
97,10,14,5,3,4,2,69318,138636,Presencial
98,10,16,5,2,5,1,70661,70661,Online
99,10,17,1,1,7,2,136819,273638,Online
100,10,9,4,2,2,1,173123,173123,Online
